cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
voltage-gated cation channel activity	0	4	4	4	4	0	2.06147516375337	0	0	0	4	0	0	0	0	0	0	2.35855087200573	0	0	0	0	0	4	3.33563847659135	0	0	4	0	0	0	4
amine binding	0	4	4	0	4	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1.67798974108011	0	0	0	0	4	0	4	0	4	0	0
serotonin binding	0	4	4	0	4	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	1.67798974108011	0	0	0	0	4	0	4	0	4	0	0
voltage-gated potassium channel activity	0	4	3.94834122113578	4	0	0	2.06147516375337	0	1.63882694418825	0	0	0	0	0	0	0	0	2.50863314850685	0	0	0	0	0	4	3.85480265679125	0	0	4	0	0	0	0
serotonin receptor activity	0	4	4	0	4	0	0	0	0	3.50071702250072	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
transmitter-gated ion channel activity	0	4	0	4	3.8343476112455	0	0	0	0	0	4	0	0	2.80998493004323	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	4	0	0
transmitter-gated channel activity	0	4	0	4	3.8343476112455	0	0	0	0	0	4	0	0	2.80998493004323	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	4	0	0
extracellular ligand-gated ion channel activity	0	4	0	4	2.85970440743957	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	4	0	0
ionotropic glutamate receptor activity	0	4	0	2.67021674220907	2.7791749399198	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
potassium channel regulator activity	0	4	2.6920282515153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04780444272199	0	0	0	1.77330925430818	0	0	0	0
RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding	0	4	0	0	0	0	0	0	2.09784336305868	0	0	1.85283126210883	0	0	0	0	3.41119712491789	0	4	0	0	0	4	0	3.35153998158721	0	0	0	0	0	0	0
transcription factor activity, direct ligand regulated sequence-specific DNA binding	0	4	0	0	0	0	0	0	2.09784336305868	0	0	1.85283126210883	0	0	0	0	3.41119712491789	0	4	0	0	0	4	0	3.35153998158721	0	0	0	0	0	0	0
inward rectifier potassium channel activity	0	4	2.11452007489323	0	0	0	2.1210092423249	0	0	1.69942744416975	0	2.28835892445866	0	0	0	0	0	3.33611286455846	0	0	0	0	0	2.30426372898146	0	0	0	0	0	0	0	0
excitatory extracellular ligand-gated ion channel activity	0	4	0	4	3.17337150051378	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
glutamate receptor activity	0	4	0	2.30096282358547	3.98919314254103	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
G-protein coupled serotonin receptor activity	0	4	4	0	4	0	0	0	0	3.50071702250072	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
dopamine binding	0	4	4	0	4	0	0	0	0	0	3.47769654499129	0	0	1.84727126336656	0	0	0	0	0	0	0	0	0	2.93920544463926	0	4	0	4	0	4	0	0
calmodulin binding	0	4	0	0	3.69628951706935	0	0	0	0	0	1.98929295043664	0	0	0	0	2.69443631090438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47322034747866
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	0	3.97870863030635	0	0	0	0	0	0	0	0	2.36426367865352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMN binding	0	3.94444091064977	0	0	0	0	0	0	0	0	3.16419313424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carboxylic acid binding	0	3.8806165718661	0	4	0	0	0	0	0	0	4	0	0	0	0	0	2.61195406955734	0	0	0	3.53247465677048	0	2.9465243667903	0	0	0	0	0	0	4	0	0
amino acid binding	0	3.58199858600539	0	4	1.9829011340186	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
extracellular-glutamate-gated ion channel activity	0	3.58199858600539	0	2.61209048166593	2.75178435201404	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
protein heterodimerization activity	0	3.4519689739667	2.86435371944435	0	0	0	0	0	0	2.43712191233908	2.19130370088103	0	0	2.84029715602105	1.72722616141879	0	0	0	0	0	1.88727634593689	0	1.80880557567114	0	0	0	2.35262330220995	2.04882157962507	0	0	0	0
steroid hormone receptor activity	0	3.4519689739667	0	0	0	0	0	0	1.92614769815832	0	0	1.72401483324661	0	0	0	0	3.30646179053376	0	4	0	0	0	4	0	3.13031325803187	0	0	0	4	0	0	0
heme binding	0	3.23169058506061	1.53761079451854	0	0	0	0	3.8303503496391	0	0	0	0	0	2.79351577746777	0	0	0	0	2.09194929474763	0	0	0	0	1.9156375821691	0	0	0	0	0	0	0	0
G-protein coupled peptide receptor activity	0	3.21745679036536	0	0	0	4	0	0	0	0	2.37618406926571	0	0	4	0	0	2.75055547334285	0	0	0	0	0	0	3.99769489277638	2.34774302959664	0	0	2.64350452122172	0	0	0	2.02163200927895
channel regulator activity	0	3.21745679036536	1.52642629174164	2.60597021038499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90696600643314	3.35153998158721	3.90872917666085	0	0	0	0	0	0
peptide receptor activity	0	3.21028192533975	0	0	0	4	0	0	0	0	2.37247730571836	0	0	4	0	0	2.75055547334285	0	0	0	0	0	0	3.99769489277638	2.34774302959664	0	0	2.64145400053962	0	0	0	2.02163200927895
actinin binding	0	3.15059132337839	1.88545089913844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.9465243667903	0	0	0	0	0	0	0	0	2.19664414891651
tetrapyrrole binding	0	3.13509259456576	0	0	0	0	0	3.8303503496391	0	0	0	0	0	2.73003887326413	0	0	0	0	2.05136992795921	0	0	0	0	1.85268467229158	0	0	0	0	0	0	0	0
sodium ion transmembrane transporter activity	0	3.11358115363177	0	4	4	0	0	0	0	0	2.31697510508983	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2889328033427	4	0	2.55525590541852	0	2.30318895426253	0	0
phosphatase binding	0	2.91361772332713	0	0	2.09931212701176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24502526137658	1.80880557567114	0	0	0	4	0	0	0	0	0
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0	2.83213002089364	0	0	0	0	0	2.57537987875312	0	0	0	0	0	0	0	0	0	0	1.96296199486307	0	0	0	0	1.70430336794646	0	0	0	0	0	0	0	0
monooxygenase activity	0	2.73983683534156	1.84039714891612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27408709734321	0	0	0	0	0	0	0	0	0	0	0	0	0
monoamine transmembrane transporter activity	0	2.69037477852426	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
anion binding	0	2.68766027512246	0	4	0	0	0	0	0	0	4	0	0	0	0	0	2.0985596377775	0	0	0	2.68080249434882	0	2.28466850514228	0	0	0	0	0	0	4	2.18499582248934	0
NADP binding	0	2.61622617602441	0	0	0	0	0	0	0	0	2.30382696213259	3.01257962777305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87848805849068
scaffold protein binding	0	2.56931403800919	3.82600326372495	2.59116669119122	4	0	2.08356724263885	2.29126600390971	0	0	0	0	0	0	0	0	0	0	0	0	2.32170645959368	0	0	2.97941308475557	0	2.4677934392019	1.8586955533505	1.72983233013009	0	0	0	3.10370875450002
protein phosphatase binding	0	2.54511341802537	0	0	2.44906957364628	0	0	1.6603517314025	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48629432870035	0	0	0	0	4	0	0	0	0	0
calcium channel activity	0	2.52292594042305	4	0	3.47356479089762	0	0	0	0	0	4	0	0	1.84727126336656	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	2.58186038678433	0	4
glycine binding	0	2.37773316411563	0	4	2.95063975374541	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
calcium ion transmembrane transporter activity	0	2.34797433082501	4	0	3.28867929287686	0	0	0	0	0	4	0	0	1.79227580015909	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	3.33405075316226	0	4
icosanoid receptor activity	0	2.33407158508531	0	0	0	0	0	0	2.91436264406037	0	0	0	4	0	0	0	0	0	0	0	0	0	1.76811578637571	0	0	0	0	0	0	0	0	4
G-protein alpha-subunit binding	0	2.19653568979434	2.20944971316353	0	0	0	0	0	0	0	2.96245135575987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19255051418456	0	3.9542278109016	0	2.30318895426253	0	0
neurotransmitter:sodium symporter activity	0	2.19653568979434	0	1.58109640263998	0	0	0	0	0	0	4	0	0	3.18879807625086	0	0	0	0	0	0	0	0	0	0	0	3.62622071826791	0	3.9542278109016	0	3.78414432944371	0	0
voltage-gated sodium channel activity	0	2.17042913606813	2.18125016993148	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ankyrin binding	0	2.17042913606813	3.6443294393185	0	2.75178435201404	0	0	0	0	0	0	0	0	0	0	0	0	2.1461886016976	0	0	0	0	1.69892858374057	0	0	0	0	2.39541407422292	0	0	0	0
voltage-gated ion channel activity involved in regulation of postsynaptic membrane potential	0	2.17042913606813	2.18125016993148	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
alpha-actinin binding	0	2.13412098869365	2.14692058853909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13419394789882	0	0	0	0	0	0	0	0	2.46332694982757
fibroblast growth factor binding	0	2.06729148451294	0	1.48441549795828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.28341248920824	0	0	0	0
transcription factor binding	0	2.02783746027388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1.66357015029011	0	0	0	0	0	0	0
cofactor binding	0	2.02783746027388	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11752332791643	0	0	0	0	0	0	0	0	0	0	0	0	0	0
iron ion binding	0	2.02783746027388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96224600037241	0	0	0	0	1.69106231386663	0	0	0	0	0	0	0	0
neurotransmitter transporter activity	0	2.01818850063977	0	0	0	0	0	0	0	0	4	0	0	2.96061674848067	0	0	0	0	0	0	0	0	0	0	0	4	0	3.63110514717463	0	4	0	0
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	0	1.99005472627758	0	0	0	0	0	2.69614127289165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
divalent inorganic cation transmembrane transporter activity	0	1.97948789344791	4	0	2.90126009482026	0	0	0	0	0	4	0	0	0	0	3.84853810646967	0	0	0	0	4	0	0	0	0	0	0	0	0	2.78714679451322	0	4
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	0	1.97378416218567	0	0	0	0	0	2.69614127289165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein phosphatase 2A binding	0	1.97378416218567	0	0	0	0	0	0	0	0	2.68898042198231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01535324353655	0	0
enhancer binding	0	1.86548867094342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
solute:cation symporter activity	0	1.84575852484824	0	1.67397418758642	0	0	0	0	4	0	2.67735783048681	0	0	1.9366103742826	0	0	0	0	0	0	0	0	0	0	1.61206993910563	1.68921189535499	0	2.08472682986935	0	1.88993679590926	2.92120514613647	0
RNA polymerase II transcription factor binding	0	1.77952774383007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
active ion transmembrane transporter activity	0	1.73954524254045	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sodium channel activity	0	1.73265316482841	1.70208151353353	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	0	1.72895865230608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3.07270860986455	0	0	0	0	0	0	0	0	0
ion channel binding	0	1.71111861750216	0	4	3.47493430893174	0	0	0	0	0	0	0	1.95180663115653	0	0	0	0	0	0	0	0	0	0	3.08181040999346	0	0	3.00374412592629	0	0	0	0	3.23877042586236
organic hydroxy compound transmembrane transporter activity	0	1.68207409415184	0	0	0	0	0	0	0	0	3.65542298401595	3.14458888747064	0	4	0	0	0	0	0	0	0	0	0	0	0	2.68047271300301	0	3.05260465830108	0	2.86215181407406	0	0
voltage-gated calcium channel activity	0	1.64623193132254	4	0	3.47493430893174	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1.84640544841617	0	2.62717429352833	0	0	0	0	0	4
transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	0	1.58180116986546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65330267380844	0	0	0	0	0	0	0	0	0	0	0	0	0
active transmembrane transporter activity	0	1.54966041447405	0	0	0	0	0	0	3.99618270671152	0	3.27529157099238	2.38040060807349	0	0	0	0	0	0	0	2.01832558536253	0	0	0	0	0	0	0	0	0	1.54793759588295	4	0
high voltage-gated calcium channel activity	0	0	4	0	0	0	0	0	0	0	3.47769654499129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
phosphoric diester hydrolase activity	0	0	4	0	2.67446253581044	0	0	0	0	0	3.82339972490772	0	4	0	0	4	0	0	0	0	0	0	0	4	0	1.7569451027986	0	2.1579002659514	0	1.95835968830444	0	4
3',5'-cyclic-nucleotide phosphodiesterase activity	0	0	4	0	2.57363937238545	0	0	0	0	0	0	0	4	0	0	4	0	2.11752332791643	0	0	0	0	0	4	0	0	0	0	0	0	0	4
cyclic-nucleotide phosphodiesterase activity	0	0	4	0	2.54778738992917	0	0	0	0	0	0	0	4	0	0	4	0	2.11752332791643	0	0	0	0	0	4	0	0	0	0	0	0	0	4
3',5'-cyclic-GMP phosphodiesterase activity	0	0	4	0	2.99194569208582	0	0	0	0	0	0	0	0	0	0	4	0	2.21470270078461	0	0	0	0	0	4	0	0	0	0	0	0	0	2.77603146659862
cyclic nucleotide binding	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	4	0	2.01435325493326	0	0	0	0	0	4	0	0	0	0	0	0	0	4
acetylcholine receptor activity	0	0	4	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	4	0	4	0	4	0	0
cGMP binding	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
phosphoric ester hydrolase activity	0	0	4	0	1.84668968337733	0	0	0	0	0	1.9027892210173	0	3.0925907140946	0	0	4	0	0	0	0	0	0	0	2.91308478388857	0	0	0	0	0	0	0	3.08212641116558
3',5'-cyclic-AMP phosphodiesterase activity	0	0	3.98843030776577	0	2.95063975374541	0	0	0	0	0	0	0	4	0	0	4	0	2.20338252683251	0	0	0	0	0	2.62913454902856	0	0	0	0	0	0	0	4
adrenergic receptor binding	0	0	3.77536769569764	0	0	0	0	0	0	3.79824527182299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	2.33503293396378	0	0
aromatase activity	0	0	3.47918246749571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76046508987817	0	0	0	0	0	0	0	0	0	0	0	0	0
cAMP binding	0	0	3.43321076551184	0	0	0	0	0	0	0	0	0	4	0	0	4	0	2.11752332791643	0	0	0	0	0	2.25251720184073	0	0	0	0	0	0	0	3.97993992942384
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	0	0	3.3477246801224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73203043639195	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol phospholipase C activity	0	0	3.30785215406854	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.16924398689334	0	3.54190594618361	0	3.3353949087777	0	0
phospholipase C activity	0	0	3.17909794270886	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04081270765134	0	3.41544463216173	0	3.21636469018784	0	0
steroid hydroxylase activity	0	0	3.06417922424019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05418496897338	0	0	0	0	0	0	0	0	0	0	0	0	0
oxygen binding	0	0	2.64545121345533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78932673877145	0	0	0	0	0	0	0	0	0	0	0	1.79718603113602	0
nitric-oxide synthase binding	0	0	2.29813764127542	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2736571019821	0	2.5182960262511	0	2.37713900257794	0	0
phospholipase activity	0	0	1.83531418124916	0	0	0	0	0	0	0	3.72393971041217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69409033585645	0	2.08849021660852	0	1.89540221401715	0	0
lipase activity	0	0	1.58698968151502	0	0	0	0	0	0	0	3.42556393953502	2.11119211690429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.84732521549988	0	1.64755681119419	0	0
delayed rectifier potassium channel activity	0	0	0	4	2.39961175874355	0	2.08356724263885	0	0	1.56772761596965	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46200936676528	4	0	0	4	0	0	0	0
outward rectifier potassium channel activity	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88079386528169	0	0	0	2.8301593141206	0	0	0	0
pyridoxal phosphate binding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77757004030276	0
glucosidase activity	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cation:amino acid symporter activity	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transferase activity, transferring nitrogenous groups	0	0	0	3.76132419581578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
neutral amino acid transmembrane transporter activity	0	0	0	3.1997215652419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sodium channel regulator activity	0	0	0	3.15750022137263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
N-acyltransferase activity	0	0	0	3.06521384582319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L-amino acid transmembrane transporter activity	0	0	0	2.76570547871205	0	0	0	0	0	0	3.61689482148212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lyase activity	0	0	0	2.70240296966979	0	0	0	0	4	0	0	0	0	2.46765859938211	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
transaminase activity	0	0	0	2.57625861270424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carbon-carbon lyase activity	0	0	0	2.5416627257314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ligase activity, forming carbon-nitrogen bonds	0	0	0	2.48558919248716	0	0	0	0	0	0	0	0	0	0	0	0	2.21403835378671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transferase activity, transferring acyl groups	0	0	0	2.44214965071789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.35526358792996	0	0	0	0	0	0	0	0	0	0	0	0
copper ion binding	0	0	0	2.38088765164479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62346906176485	0	0	1.77757004030276	0
fibroblast growth factor receptor binding	0	0	0	2.34137823281449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transferase activity, transferring acyl groups other than amino-acyl groups	0	0	0	2.23422956251089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51595127486597	0	0	0	0	0	0	0	0	0	0	0	0
