cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
Adrenergic signaling in cardiomyocytes	0	1.99919819983081	4	0	4	0	0	0	4	1.54136234556513	0	0	0	0	0	0	0	0	0	0	0	0	1.78392372780705	0	3.39607614930125	0	3.04530933207869	0	0	0	4
AGE-RAGE signaling pathway in diabetic complications	0	1.99303631842609	0	0	0	0	0	0	0	0	0	0	0	0	2.28015967624592	0	0	0	0	0	0	0	0	1.41478248665687	0	1.95836115873931	0	1.56305955487987	0	0	0
Pathways in cancer	0	1.99303631842609	0	0	0	0	1.64763964559007	0	0	0	0	2.74246981990044	0	0	0	1.68570853313378	0	0	0	0	0	4	0	1.6706245204568	0	4	0	1.48672952635058	0	0	0
Renin secretion	0	1.8464567439725	4	0	2.72628677512291	0	0	0	4	0	0	1.8517822915118	0	0	4	2.78687836739263	0	0	0	0	0	0	2.09577870930858	1.5119824088042	0	0	1.75940086087226	0	0	0	4
Pertussis	0	1.64053699036744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcoholism	0	1.64053699036744	0	0	2.15514466925494	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2.37715117948768	0	0	0	0	0	0	0	0	4	0	0
Nicotine addiction	0	1.57858082025763	0	1.72061510281474	2.33241629495845	0	0	0	0	4	0	0	3.85097237965731	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	4	0	0
Type II diabetes mellitus	0	1.42844580887883	4	0	0	0	0	0	0	0	0	0	0	0	2.82536552748806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.18769964398785
Cholinergic synapse	0	0	4	0	0	0	0	0	0	4	0	0	3.50057854081441	0	4	0	0	0	0	4	0	0	0	2.36375372635144	1.90650495121367	1.84595204781466	4	0	2.26648398018507	0	2.81595910564095
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Dilated cardiomyopathy (DCM)	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Cardiac muscle contraction	0	0	4	0	1.67011431197201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Hypertrophic cardiomyopathy (HCM)	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
MAPK signaling pathway	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4
Gap junction	0	0	4	0	4	0	0	0	0	0	0	0	0	0	2.33830412450603	0	1.93022986905105	0	0	0	0	0	0	0	3.09808533777078	4	4	0	3.54958773803492	0	0
Oxytocin signaling pathway	0	0	3.75195394664297	0	1.67011431197201	0	0	0	0	0	0	0	0	0	2.43651516592502	0	0	0	0	0	0	0	0	0	0	3.66418426723597	0	0	0	0	4
Aldosterone synthesis and secretion	0	0	3.61159057529934	0	0	0	0	0	0	0	0	0	0	0	3.06921099769262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Retrograde endocannabinoid signaling	0	0	3.14162349772663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	2.3992918895577
Purine metabolism	0	0	2.72021151035032	0	1.48650255279754	0	0	0	0	0	0	3.00435159324603	0	4	4	1.75070785911478	4	0	0	0	0	0	2.09577870930858	0	0	0	0	0	0	0	2.15575785151995
GnRH signaling pathway	0	0	1.7134889947817	0	0	0	0	0	0	0	0	0	0	0	2.31425430800365	0	0	0	0	0	0	0	0	0	0	4	0	2.55945655124762	0	0	3.13315938948157
Circadian entrainment	0	0	1.66545843959173	0	4	0	0	0	0	2.94055481580428	0	0	0	0	2.29740101459424	0	0	0	0	2.45217123991548	0	0	0	0	2.13744312336048	0	0	0	4	0	2.27878465239861
Inflammatory mediator regulation of TRP channels	0	0	1.6652378497683	0	2.27999325720858	0	0	0	0	0	0	1.57508283025587	0	0	4	0	0	0	0	0	0	0	0	0	0	2.76262332795922	2.99242391425988	2.55945655124762	2.51959274652199	0	0
Glycine, serine and threonine metabolism	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2.33125325465216	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyoxylate and dicarboxylate metabolism	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alanine, aspartate and glutamate metabolism	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carbon metabolism	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phenylalanine metabolism	0	0	0	2.91065880753125	0	0	0	0	0	0	0	0	0	0	0	0	2.71175618614304	0	0	0	0	0	0	0	1.69365704302567	0	0	0	0	0	0
Cysteine and methionine metabolism	0	0	0	2.32599195302412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Biosynthesis of amino acids	0	0	0	2.30371857209957	0	0	0	0	0	1.57575980246191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galactose metabolism	0	0	0	2.05036624721702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tyrosine metabolism	0	0	0	1.89654172316545	0	0	0	0	0	0	0	0	0	0	0	0	2.33125325465216	0	0	0	0	0	0	0	0	0	0	0	0	0	2.45691721914738
Valine, leucine and isoleucine degradation	0	0	0	1.46608467947218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gastric acid secretion	0	0	0	0	2.5600022847895	0	0	0	0	0	0	0	0	0	2.467000930315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamatergic synapse	0	0	0	0	2.06706566118732	0	0	0	0	4	0	0	0	0	2.17438386940006	0	0	0	0	3.12125094807469	0	0	0	0	0	0	0	1.51048250897399	4	0	0
Long-term potentiation	0	0	0	0	1.81550023640339	0	0	0	0	3.5924665005339	0	0	0	0	2.50847160999722	0	0	0	0	3.01022329136626	0	0	0	0	0	4	0	0	4	0	0
Phospholipase D signaling pathway	0	0	0	0	0	3.01559581635079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Base excision repair	0	0	0	0	0	3.01559581635079	0	0	0	0	0	0	0	3.99193182555294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platinum drug resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1893512214958	0	0	0	0	0	1.58148059325226	0	0	0	0	0	0	0	0	0	0
Arachidonic acid metabolism	0	0	0	0	0	0	4	2.00419572416201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NF-kappa B signaling pathway	0	0	0	0	0	0	3.03026508507406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Osteoclast differentiation	0	0	0	0	0	0	2.69866747551684	0	0	0	0	0	3.28127890324411	0	2.0742477046002	0	0	0	0	0	0	0	0	0	0	3.18686891263177	0	0	0	0	0
Acute myeloid leukemia	0	0	0	0	0	0	2.43588950641656	0	0	0	0	0	0	0	2.51612905046775	0	0	0	0	0	0	1.76500094610429	0	0	0	4	0	0	0	0	0
Epithelial cell signaling in Helicobacter pylori infection	0	0	0	0	0	0	2.43588950641656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.29897862620527	0	0	0	0	0
IL-17 signaling pathway	0	0	0	0	0	0	2.18231271659772	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58148059325226	0	0	0	0	0	0	0	0	0	1.55359882589332
Small cell lung cancer	0	0	0	0	0	0	2.18231271659772	0	0	0	0	0	0	0	2.30836096731481	0	0	0	0	0	0	4	0	1.45262757271857	0	0	0	0	0	0	0
TNF signaling pathway	0	0	0	0	0	0	2.09169684240398	0	0	0	0	0	0	0	2.20878044959042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Toxoplasmosis	0	0	0	0	0	0	2.09169684240398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fluid shear stress and atherosclerosis	0	0	0	0	0	0	1.91291655799228	0	0	1.57575980246191	0	0	3.16279432873877	0	2.01145700481462	0	0	0	0	0	1.46567443565285	0	0	0	0	2.28547805101328	0	0	0	0	2.45691721914738
Ovarian steroidogenesis	0	0	0	0	0	0	1.71127019755017	0	0	0	0	0	0	0	0	0	0	1.6988869161539	0	0	0	0	0	0	0	0	0	0	0	0	0
Kaposi's sarcoma-associated herpesvirus infection	0	0	0	0	0	0	1.71127019755017	0	0	0	0	0	0	0	3.41754048862964	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Regulation of lipolysis in adipocytes	0	0	0	0	0	0	1.70171758872543	2.05635963848381	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1.56345367698143	0	0	1.95323042508487	0	0	0	0
Chemokine signaling pathway	0	0	0	0	0	0	1.68787620320815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Cytosolic DNA-sensing pathway	0	0	0	0	0	0	1.64763964559007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shigellosis	0	0	0	0	0	0	1.64763964559007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38733786915486	0	0	0	0	0
Adipocytokine signaling pathway	0	0	0	0	0	0	1.6371443538802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
RIG-I-like receptor signaling pathway	0	0	0	0	0	0	1.6371443538802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B cell receptor signaling pathway	0	0	0	0	0	0	1.6371443538802	0	0	0	0	0	0	0	2.48782409555201	0	0	0	0	0	0	0	0	0	0	3.23570968641701	0	0	0	0	0
Pancreatic cancer	0	0	0	0	0	0	1.61879669639349	0	0	0	0	0	0	0	2.467000930315	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Ras signaling pathway	0	0	0	0	0	0	1.61879669639349	0	0	0	0	0	0	0	0	0	0	0	0	1.96432579007352	0	0	0	0	0	4	0	0	0	0	0
Chronic myeloid leukemia	0	0	0	0	0	0	1.61404664792066	0	0	0	0	0	0	0	3.13298212240016	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Prostate cancer	0	0	0	0	0	0	1.54029209169868	0	0	0	0	0	0	0	2.34443502970958	0	0	0	0	0	1.58148059325226	0	0	0	0	4	0	0	0	0	0
Nitrogen metabolism	0	0	0	0	0	0	0	4	0	0	0	0	3.64529485020071	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1.82216466930572	0	0
Pancreatic secretion	0	0	0	0	0	0	0	3.80615456206884	0	0	0	0	0	0	2.29740101459424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPAR signaling pathway	0	0	0	0	0	0	0	1.91091022465423	0	0	0	0	0	0	0	0	0	0	1.79988009953585	0	0	4	0	1.5119824088042	0	0	0	0	0	0	0
Proximal tubule bicarbonate reclamation	0	0	0	0	0	0	0	1.77632647202734	0	0	0	0	1.88021496700538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58571261936375	0	0
AMPK signaling pathway	0	0	0	0	0	0	0	1.46853071781555	0	0	0	0	0	0	2.12237812661911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocytosis	0	0	0	0	0	0	0	0	3.15528701555149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Arginine biosynthesis	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amyotrophic lateral sclerosis (ALS)	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3.25443917123894	0	0	0	0	0	0	0	0	4	0	0
Arginine and proline metabolism	0	0	0	0	0	0	0	0	0	3.0046634207077	0	0	0	0	0	0	2.24873527099863	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alzheimer's disease	0	0	0	0	0	0	0	0	0	1.93762504912267	0	0	0	0	0	0	0	0	0	1.63860132580197	0	0	0	0	0	0	0	0	2.79029780575121	0	2.83965320512985
Regulation of actin cytoskeleton	0	0	0	0	0	0	0	0	0	1.57575980246191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.64010992642762	0	0	0	0
Proteasome	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bile secretion	0	0	0	0	0	0	0	0	0	0	2.39417382129317	0	0	0	0	0	0	0	0	0	0	1.73805209934002	0	1.5119824088042	0	0	0	0	0	2.53563992369196	0
Leukocyte transendothelial migration	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2.18246400892875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phagosome	0	0	0	0	0	0	0	0	0	0	0	0	3.85097237965731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fc gamma R-mediated phagocytosis	0	0	0	0	0	0	0	0	0	0	0	0	1.77376001663504	0	2.32019536406514	0	0	0	0	0	0	0	0	0	0	3.79720709297266	0	2.55945655124762	0	0	0
Rap1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	1.64258652252995	0	2.51612905046775	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Sphingolipid signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	1.55770757769204	0	3.34440773553914	0	0	0	0	0	0	0	0	0	0	3.31592645807249	0	0	0	0	0
DNA replication	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nucleotide excision repair	0	0	0	0	0	0	0	0	0	0	0	0	0	3.46421744252711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nicotinate and nicotinamide metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	2.71377280395405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutathione metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97471561330906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTLV-I infection	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72016702241355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apoptosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2.28969434979892	0	0	0	0	0
Phosphatidylinositol signaling system	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellular senescence	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2.77090427725489	0	0	0	0	0
Platelet activation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2.42639118123794	0	0	0	0	0
Long-term depression	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4131570308124	0	0	0	0	0	0	0	0	0	0	4	0	1.75748727845332	0	0	0
Longevity regulating pathway - multiple species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38422090179636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteoglycans in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1893512214958	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Apelin signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.13298212240016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldosterone-regulated sodium reabsorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.05512196721644	0	0	0	0	0	0	0	0	0	0	0	0	2.03035154868745	0	0	0
Carbohydrate digestion and absorption	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85054764554026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Progesterone-mediated oocyte maturation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83003482504742	0	0	0	0	0	0	0	0	0	0	3.65173927618398	0	0	0	0	0
Glucagon signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79643761669617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thyroid hormone signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.62174359733849	0	0	0	0	0	0	3.81843727327617	0	0	0	2.49600190420212	0	0	0	0	0
Endometrial cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57824940993965	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
VEGF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.57046464645073	0	0	0	0	0	0	0	0	0	0	4	0	1.75748727845332	0	0	0
Autophagy - animal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51612905046775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Central carbon metabolism in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51612905046775	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
FoxO signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51612905046775	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Renal cell carcinoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51612905046775	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Non-small cell lung cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.51612905046775	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0
Fc epsilon RI signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50085479130401	0	0	0	0	0	0	0	0	0	0	4	0	1.70781514525706	0	0	0
Insulin signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49308166679508	0	0	0	0	0	0	0	0	0	0	2.28969434979892	0	0	0	0	0
Prolactin signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48782409555201	0	0	2.54013032144504	0	0	0	0	0	0	0	4	0	0	0	0	0
Glioma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48782409555201	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Colorectal cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.48019313853778	0	0	0	0	0	0	0	0	0	0	2.28969434979892	0	0	0	0	0
Inositol phosphate metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47262389882495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thyroid hormone synthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.467000930315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterial invasion of epithelial cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.467000930315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Melanoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.467000930315	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
EGFR tyrosine kinase inhibitor resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43651516592502	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Phototransduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.36823736943575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ErbB signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.35061280677496	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Longevity regulating pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.332220402084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endocrine resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29740101459424	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Amoebiasis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.29740101459424	0	0	0	0	0	0	0	0	0	0	0	0	1.56305955487987	0	0	0
HIF-1 signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28015967624592	0	0	0	0	0	0	0	0	0	0	4	0	1.56305955487987	0	0	0
Choline metabolism in cancer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28015967624592	0	0	0	1.61047215922356	0	0	0	0	0	0	4	0	1.56305955487987	0	0	0
Chagas disease (American trypanosomiasis)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25146271453588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T cell receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24612119368708	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Toll-like receptor signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24082319198487	0	0	0	0	0	0	0	0	0	0	1.9133370408174	0	0	0	0	0
Insulin resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21375842149531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Viral carcinogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18553095382225	0	0	0	0	0	0	0	0	0	0	1.82515678924737	0	0	0	0	0
Epstein-Barr virus infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18246400892875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neurotrophin signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13542293680248	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Human papillomavirus infection	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13542293680248	0	0	0	0	0	0	0	0	0	0	2.76262332795922	0	0	0	0	0
Cell cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10492583433075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oocyte meiosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10492583433075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hepatitis C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05819474329898	0	0	0	0	0	0	0	0	0	0	2.35000463228607	0	0	0	0	0
Natural killer cell mediated cytotoxicity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04615109567409	0	0	0	0	0	0	0	0	0	0	3.97024580851777	0	0	0	0	0
Measles	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04261428028253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signaling pathways regulating pluripotency of stem cells	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01145700481462	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Hepatitis B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97720841282757	0	0	0	0	0	0	0	0	0	0	3.79720709297266	0	0	0	0	0
One carbon pool by folate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
