cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 10	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 17	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 29	cluster 30	cluster 31	cluster 32
response to ethanol	0	4	3.43673200892471	0	3.40630119492093	0	0	0	0	0	4	2.21640558059705	0	4	0	0	0	0	0	0	4	0	0	0	0	4	0	4	0	4	0	2.02144754905645
response to inorganic substance	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2.60461366279502	0	0	0	0	0	0	2.50712129236572	0	0	3.0589074151971	0	0	0	0	3.12591295857328
regulation of cyclase activity	0	4	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	2.53525820490088	4	0	4	0	4	0	0
temperature homeostasis	0	4	4	0	3.7119329345297	0	0	0	0	0	3.31945220229523	0	0	0	3.39755478890537	0	0	0	0	0	0	0	0	3.18190083364535	0	4	0	4	0	2.94798974249935	0	0
excretion	0	4	3.40620088568791	0	3.03034350021153	2.56842110191101	0	0	0	0	2.66314660672373	0	0	4	1.78108321927567	1.53816313579076	2.31692646992948	0	0	0	2.86312894714353	0	0	2.64569135102391	3.69038116453766	2.07443799705233	0	2.59131104167609	0	2.29124611649776	0	0
ribose phosphate biosynthetic process	0	4	4	1.65752081238291	4	0	0	0	0	4	3.49689349339961	0	0	0	3.20896556021275	0	4	3.63331066873962	0	0	0	0	0	3.50549769113351	3.03094970998486	4	0	4	1.74849739654875	4	0	0
positive regulation of cytosolic calcium ion concentration	0	4	0	0	0	2.75219333952999	0	0	0	4	0	0	4	0	0	0	2.34695367939746	0	0	0	0	0	0	0	0	0	2.76859448879521	0	0	0	0	4
single-organism behavior	0	4	4	2.57529078042054	4	0	0	0	0	0	4	1.73863452251058	0	4	0	2.04804901314971	0	0	0	0	4	0	0	4	1.84214551382671	4	2.73645831972387	4	0	4	0	0
neuronal action potential	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.05273442040665
dopamine metabolic process	0	4	4	0	4	0	0	0	0	2.02878330180832	4	0	0	2.27517404876538	0	0	0	4	0	0	2.19975373444204	0	0	3.25468651219113	0	4	0	4	0	4	0	0
signal release	0	4	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	2.05932795040503	0	0	0	4	0	0	0	0
modulation of synaptic transmission	0	4	4	0	4	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	4	0	0
positive regulation of lipid metabolic process	0	4	0	1.71378012065545	0	2.16760155375411	0	1.58035867685235	1.9561910972549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of hormone levels	0	4	4	1.69467033008838	4	0	0	0	0	0	4	2.19445122713375	0	0	0	1.80620378146098	1.83107543860722	0	0	0	0	0	1.69164087187966	3.06813114533681	0	3.34507849374817	2.42975357927064	3.39241338378066	1.99152633989729	3.38859335108354	0	2.45835878601666
positive regulation of phospholipase activity	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5022074874845	0	0	0	0	0	0	0	1.92422527690177	0	4	0	0	0	0	0
startle response	0	4	0	0	0	0	0	0	0	0	4	0	0	2.44250471595845	0	0	0	0	0	0	0	0	0	2.27647852349786	0	0	0	0	0	4	0	0
neuron-neuron synaptic transmission	0	4	4	4	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	0
calcium ion homeostasis	0	4	4	0	0	2.36867087109456	0	0	0	4	4	0	4	2.57932454251279	0	4	1.98242942944472	0	0	0	1.75697732026021	0	0	0	0	4	0	0	0	0	0	0
positive regulation of MAPK cascade	0	4	4	0	0	0	0	0	0	4	4	0	0	2.26992615204548	0	0	0	0	0	0	0	0	0	3.02442792550158	0	4	4	4	0	4	0	0
multicellular organismal signaling	0	4	4	4	4	0	2.61731364097964	0	0	0	2.35564474512963	0	0	0	0	3.23287043686842	0	0	0	0	0	0	0	4	0	4	0	4	0	3.39732402419808	0	4
memory	0	4	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	2.32940081526832	1.55905038517602	0	0	0	0	0	0	0
sensory perception of pain	0	4	1.95957755696252	4	2.65698438165466	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	0	3.40766240982043	4	0	4	0	4	0	0
regulation of ion homeostasis	0	4	4	0	4	2.97532567799712	0	0	0	0	0	0	0	0	0	0	1.73618738579693	0	0	0	0	0	0	4	0	4	0	4	0	4	0	0
organic hydroxy compound metabolic process	0	4	2.51156022910426	1.57585261515145	4	0	0	0	0	0	1.93710167465039	1.66269814904352	0	0	0	0	0	2.04335625363064	2.36274062533256	0	0	0	1.7748002521228	2.66128829237088	3.677506827169	3.74155574179943	0	2.96952981758677	0	4	0	4
cellular response to organic cyclic compound	0	4	1.60740054909487	0	2.76776934298716	0	0	0	1.94680673979903	0	0	2.09140662795666	3.26347282516524	0	0	2.96359658832413	0	0	0	0	0	0	0	4	2.7653373236479	2.54163335161557	0	2.5417585190077	0	2.55827627240643	0	0
prepulse inhibition	0	4	4	0	4	0	0	0	0	0	4	0	0	2.96270480777802	0	0	0	0	0	0	2.87340024118227	0	0	2.75042814227187	0	4	0	4	0	4	0	0
cellular response to alkaloid	0	4	0	0	0	0	0	0	0	2.02236285104826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
renal system process	0	4	3.60540574334935	0	3.5589862887381	2.2107585582962	0	0	0	0	2.13534777953188	0	0	4	0	0	2.00531205068572	0	0	0	2.31292839257292	0	0	4	4	0	0	2.04622073527721	0	1.75354356071728	0	0
hormone transport	0	4	4	0	4	0	0	0	0	0	4	0	0	0	0	2.44966654460026	0	0	0	0	0	0	0	1.83598581612761	0	4	2.49911460287031	4	2.30021476261369	3.13938533271164	0	2.48011302661697
response to lipopolysaccharide	0	4	0	0	0	0	0	1.82427040888142	0	0	0	0	4	2.19224229900234	0	0	0	0	0	0	0	0	0	1.83598581612761	2.11064249611816	0	0	0	0	0	0	0
rhythmic process	0	4	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	1.74004017188338	0	0	0	0	0	0	3.92484579933458	3.90438557731946	4	1.71811317083225	0	0	0
regulation of dopamine metabolic process	0	4	3.84724976146729	0	4	0	0	0	0	2.21015218746282	2.5713223261156	0	0	0	0	0	0	3.42599273641447	0	0	0	0	0	2.53858213882179	0	4	0	4	0	4	0	0
response to organophosphorus	0	4	1.60910484554454	0	0	0	0	0	0	0	1.95908802760786	0	0	0	0	1.87275685110643	0	1.95495932034485	0	0	0	0	0	4	3.02594162991881	0	0	0	0	0	0	0
renal sodium excretion	0	4	3.64906250761926	0	0	3.21641985063716	0	0	0	0	2.4570202825936	0	0	0	0	0	2.93768058369223	0	0	0	0	0	0	3.76051212266892	0	2.06848896352663	0	2.43868790853014	0	2.20296100001191	0	0
regulation of renal sodium excretion	0	4	0	0	0	3.21641985063716	0	0	0	0	2.4570202825936	0	0	0	0	0	2.93768058369223	0	0	0	0	0	0	3.76051212266892	3.677506827169	0	0	0	0	0	0	0
acute inflammatory response	0	4	0	0	0	0	0	2.54244444300841	0	0	1.9357102409299	0	0	0	0	0	1.89827785126662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to mechanical stimulus	0	4	2.578100814157	1.60214887277871	2.72425328982835	0	0	2.24593693254839	0	0	0	0	0	1.87473944181349	0	0	0	0	0	0	0	0	0	2.37129027507202	0	0	4	2.16785661647651	0	1.81624074178691	0	0
regulation of excretion	0	4	3.48496528796422	0	2.62951474377665	3.17673867048073	0	0	0	0	2.36444295964712	0	0	0	0	0	2.8499501598681	0	0	0	0	0	0	3.61191244056198	3.66380859395379	1.9599083590803	0	2.33762211111214	0	2.10269518014844	0	0
regulation of inflammatory response	0	4	0	0	0	0	0	0	1.8955232785091	0	0	0	2.04010629481514	0	2.95331291137166	1.7616405546188	0	0	1.79539516697623	0	0	0	0	0	0	0	3.22702167750231	0	2.30021476261369	0	0	0
maintenance of location	0	4	0	0	0	1.69880023880746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to oxygen levels	0	4	0	2.23375385886466	0	0	0	0	2.50300958600561	0	0	0	0	0	0	3.23919865721355	0	0	0	0	0	0	2.91804883946578	0	2.81427310807891	0	2.48474104805108	0	0	0	0	0
response to nutrient levels	0	4	2.61538195790757	2.55015916212233	1.79651782232628	0	0	2.41785202146108	1.5846446191199	3.08668376385281	0	0	0	3.34931611040084	0	0	0	0	0	0	0	0	0	0	3.69038116453766	1.56909025485916	0	3.84957849110478	0	0	2.17985542944869	0
organic hydroxy compound biosynthetic process	0	4	0	0	0	0	0	0	0	0	0	1.91571317395434	0	0	0	0	0	0	0	0	0	0	0	0	1.96936131709788	0	0	0	0	0	0	1.72849802127967
regulation of smooth muscle cell proliferation	0	4	0	0	0	0	0	1.65501156205626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30136842419718	0	0	0	0	0	0	2.11868946866009
regulation of macrophage derived foam cell differentiation	0	4	0	0	0	0	0	0	3.14189910046314	0	0	0	0	0	0	0	2.77051895993601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitric oxide biosynthetic process	0	4	0	0	0	0	0	0	0	0	3.83720370993403	0	0	0	1.78360839373139	0	0	0	0	0	0	0	0	0	1.77873869737346	0	0	0	0	0	0	3.76648818827487
smooth muscle cell proliferation	0	4	0	0	0	0	0	1.64775753772482	0	0	0	0	1.84611985488345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.10088588464281
nitric oxide metabolic process	0	4	0	1.80231706654803	0	0	0	0	0	0	3.72329217314138	0	0	0	1.74653513304954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.65509499762808
multicellular organismal response to stress	0	4	4	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	3.66996407575087	4	0	4	0	4	0	0
dopamine uptake involved in synaptic transmission	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79022613100318	0	0	0	0	0	0	0	0
catecholamine uptake involved in synaptic transmission	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79022613100318	0	0	0	0	0	0	0	0
reactive nitrogen species metabolic process	0	4	0	1.75732553587778	0	0	0	0	0	0	3.65648996203162	0	0	0	1.71821460081624	0	0	0	0	0	0	0	0	0	1.70408689606346	0	0	0	0	0	0	3.5930931666752
regulation of alcohol biosynthetic process	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
calcium ion transport into cytosol	0	4	4	0	4	0	0	0	0	2.80258152685356	3.85780648707809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	4	0	3.8676827798111
response to acid chemical	0	4	0	4	0	0	0	1.95357507338505	0	0	0	0	0	1.57570747667469	2.2787945871614	0	3.15201131688409	0	0	0	0	0	3.04275850721121	0	1.56545244615048	0	4	1.7587531929014	0	2.02137263837754	1.71565683667374	0
prostate gland growth	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
biomineral tissue development	0	3.99393191317378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to toxic substance	0	3.90615329161241	0	4	2.66343586019888	0	0	4	0	0	3.03173872622898	0	0	2.6664925318146	1.8161769068319	0	1.72232544493168	0	0	0	0	0	0	1.55334676354965	1.79555340249414	4	0	2.87512009463144	0	0	4	3.05926567913965
regulation of morphogenesis of a branching structure	0	3.48200788727848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16724309325219	0	0	0	0	0	0	0	0	0	0	0	0	0
lipid localization	0	3.32747430556982	0	0	0	0	0	1.68949722619006	1.7058589752412	0	0	4	0	0	0	0	0	0	0	4	0	0	3.70861648391508	0	3.31589510124745	0	0	0	3.03360305412253	0	1.70691012255311	0
regulation of neurotransmitter levels	0	3.28492249856082	4	0	4	0	0	0	0	0	4	0	0	3.81782470925448	0	0	0	1.74918684336205	0	0	1.82166316611739	0	0	0	0	4	0	4	0	4	0	0
regulation of behavior	0	3.26622805644116	4	0	4	0	0	0	0	3.38141364943485	3.90396934908083	0	0	4	0	0	0	0	0	0	0	0	0	1.68203392620671	0	4	0	4	0	4	0	0
removal of superoxide radicals	0	3.26093599494218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70985011827241	2.25999163013836
locomotory behavior	0	3.2273602713135	4	2.1925361561497	4	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	4	0	0	2.40979552001647	0	4	0	4	0	4	0	0
aging	0	3.22676640072304	0	0	0	0	0	0	0	2.23086038401188	1.88580813057069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40455998647631	0	0	0	0
regulation of appetite	0	3.21293733944573	2.09472354741398	0	2.596035792016	0	0	0	0	0	2.33478792646909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92864722256295	0	2.30712188434035	0	0	0	0
receptor biosynthetic process	0	3.21293733944573	0	0	0	0	0	0	2.03166959445332	0	0	2.38237856439581	0	0	0	2.1526565168309	0	0	0	0	0	0	2.83152946760915	0	0	0	0	0	0	0	0	0
negative regulation of protein transport	0	3.1826215426548	2.60645776799557	0	1.88674906296927	0	0	0	0	0	0	0	0	0	0	0	1.73932995732547	0	0	0	0	0	0	1.61454771518636	0	1.55726909170114	0	2.97436518340038	0	1.83755843192197	0	0
response to steroid hormone	0	3.16864598276565	0	0	0	0	0	0	1.64320147784358	0	0	0	1.86080048124214	0	0	0	2.80184432996892	0	4	0	0	0	4	0	2.53525820490088	0	0	0	3.92940437845493	0	0	0
cellular response to oxygen radical	0	3.16864598276565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70985011827241	2.20579114034965
cellular response to superoxide	0	3.16864598276565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70985011827241	2.20579114034965
regulation of multicellular organism growth	0	3.15342669822086	0	0	3.01343826198085	0	0	0	0	0	2.64785537489691	0	0	0	0	0	0	0	0	0	0	0	0	1.62672178739537	1.76388372300605	4	0	4	0	2.27563623577438	0	0
positive regulation of carbohydrate metabolic process	0	3.13180108451124	2.29505101114299	0	1.85902262537104	0	0	0	0	0	1.62477811192897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to superoxide	0	3.05133417506881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70691012255311	2.13880358583231
regulation of body fluid levels	0	3.04946867072111	4	0	0	0	0	0	0	0	4	0	0	2.20124670008835	0	3.74953521600179	0	0	0	0	0	0	1.66772468197615	0	1.57284988811855	2.55846409422651	4	3.1930808639003	0	2.04304454645324	0	0
forebrain neuron development	0	2.97609361419356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of fatty acid metabolic process	0	2.97609361419356	0	0	0	0	0	0	3.13715765112736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18198844177713	0	0	0	0	0	0	0
mammary gland duct morphogenesis	0	2.93452710333062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
multicellular organism growth	0	2.93452710333062	2.2920527635825	0	2.20998683886831	0	0	0	1.82977324686342	4	1.88390658145814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57322572004808	0	4	0	0	0	0
negative regulation of catabolic process	0	2.92138376859115	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
response to fluid shear stress	0	2.86036025447755	0	0	0	0	0	0	1.84666507836055	0	2.11166693703771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20544148678393	0	0	0	0	0
regulation of reactive oxygen species metabolic process	0	2.83360236439516	0	0	0	0	0	0	0	0	0	0	0	3.07806178990308	0	0	1.82776908961963	0	0	0	0	0	0	0	2.87389576928147	0	0	0	0	0	0	0
sleep	0	2.82765638957996	4	0	0	0	0	0	0	0	4	0	0	4	2.12947688893889	0	0	0	0	0	0	0	0	2.0677468679885	0	0	0	0	0	4	0	0
regulation of carbohydrate biosynthetic process	0	2.82546062281272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
epithelial cell proliferation	0	2.72200577688181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66215000931858	0	0	0	0	0	0	0	4	0	1.69374657874342	0	0	0
cellular oxidant detoxification	0	2.70794045720342	0	0	0	0	0	2.9479153324596	0	0	0	0	0	0	1.59222914771536	0	0	0	0	0	0	0	0	0	1.56912484917738	0	0	0	0	0	2.17985542944869	2.29156392623309
inflammatory response to antigenic stimulus	0	2.5878431230535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8702370369401
arginine catabolic process	0	2.5758155732755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74849739654875	0	0	0
response to inactivity	0	2.5758155732755	2.75342086131557	0	3.25451362740694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83775996128886	0	2.60085330514807	0	2.96945345864833	0	0	0	0
substrate-independent telencephalic tangential migration	0	2.5758155732755	2.75342086131557	0	3.25451362740694	0	0	0	0	0	0	0	0	3.08151701460234	0	0	0	0	0	0	0	0	0	2.83775996128886	0	2.60085330514807	0	2.96945345864833	0	2.72887748076649	0	0
substrate-independent telencephalic tangential interneuron migration	0	2.5758155732755	2.75342086131557	0	3.25451362740694	0	0	0	0	0	0	0	0	3.08151701460234	0	0	0	0	0	0	0	0	0	2.83775996128886	0	2.60085330514807	0	2.96945345864833	0	2.72887748076649	0	0
inositol trisphosphate metabolic process	0	2.5758155732755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cellular response to biotic stimulus	0	2.5704648841679	0	0	0	0	0	0	0	0	2.44462726385727	0	2.57894457911428	0	0	0	0	0	0	0	0	0	2.59538813581441	1.71071742808381	0	0	2.53389622543389	0	1.83116725634487	0	0	3.32832247258032
positive regulation of cellular catabolic process	0	2.53291545675487	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
female pregnancy	0	2.50897507999708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0
vitamin D biosynthetic process	0	2.50595194835421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.69164087187966	0	0	0	0	0	0	0	0	2.73495603075826
serotonin metabolic process	0	2.50595194835421	0	0	3.1775688959642	0	0	0	0	2.34743091802597	2.90101214665544	0	0	0	0	0	0	0	0	0	0	0	0	2.79022613100318	0	0	0	0	0	2.65281127798759	0	0
feeding behavior	0	2.4859102432447	2.67690515063977	0	2.50584406237083	0	0	0	0	2.94187399600156	4	0	0	4	0	0	0	0	0	0	0	0	0	3.06813114533681	0	4	0	4	0	3.58741370861511	0	0
regulation of vitamin metabolic process	0	2.45253946420813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.67324791474854
positive regulation of urine volume	0	2.45253946420813	2.60939659703251	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75833011811897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alcohol metabolic process	0	2.43091409915969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lipoxygenase pathway	0	2.3910163020076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
membrane protein proteolysis	0	2.34243141626279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
regulation of inositol phosphate biosynthetic process	0	2.34243141626279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fat-soluble vitamin biosynthetic process	0	2.34243141626279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64736876756268	0	0	0	0	0	0	0	0	2.56717461087558
regulation of neurotransmitter uptake	0	2.34243141626279	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64639877519412	0	4	0	4	0	4	0	0
multi-multicellular organism process	0	2.33662464906358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20959533523746	0	0	0	4	0	4	0	0	0	0	0	0	0
regulation of reproductive process	0	2.309361828448	1.66872982355575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
positive regulation of membrane protein ectodomain proteolysis	0	2.29610942384721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53499516548489
circadian regulation of gene expression	0	2.29610942384721	0	0	1.96223590073835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6713950331448	0	0	0	0
response to temperature stimulus	0	2.29610942384721	2.4671329091339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7281588789182	2.30188893737093	4	0	0	0	0
carbohydrate homeostasis	0	2.29610942384721	1.76961919219865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glucose homeostasis	0	2.29610942384721	1.76961919219865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
