cluster 1	cluster 2	cluster 3	cluster 4	cluster 5	cluster 6	cluster 7	cluster 8	cluster 9	cluster 11	cluster 12	cluster 13	cluster 14	cluster 15	cluster 16	cluster 18	cluster 19	cluster 20	cluster 21	cluster 22	cluster 23	cluster 24	cluster 25	cluster 26	cluster 27	cluster 28	cluster 30	cluster 31	cluster 32
membrane region	0	4	1.70270390363222	0	3.43363801234662	0	0	0	0	4	0	0	3.28784784090159	0	0	0	0	0	0	0	0	3.94930834242155	0	0	4	4	0	0	0
caveola	0	4	2.18716733117455	2.13033907456963	2.83948142116822	0	0	0	2.544138310662	2.65792934021372	0	0	0	0	0	0	0	0	0	0	0	1.58536005399038	0	1.97135238537548	0	2.42060708949653	0	0	0
plasma membrane raft	0	4	2.07678198430078	2.87225072073137	2.72745749432715	0	0	0	2.51731855378504	2.53471629335161	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85484760856397	0	3.35246915548236	0	0	0
NMDA selective glutamate receptor complex	0	4	0	3.46781439262513	3.0748965494193	0	0	0	0	4	0	0	1.73455871753388	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0
sarcolemma	0	4	4	2.20177010520585	2.40167899383285	0	0	0	0	2.13663228903231	0	0	0	0	0	1.95239440294686	0	0	0	0	0	0	0	2.17929935246772	0	2.81373991314755	0	0	4
T-tubule	0	4	4	1.91350291258206	3.366977303085	0	0	0	0	1.96132240764151	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7116200148587	0	1.79179729282953	1.56682819816064	0	4
postsynapse	0	4	4	4	3.43363801234662	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	0	0	4	0	4	4	0	0
ionotropic glutamate receptor complex	0	3.92231124959393	0	1.88187310243887	2.10464165688907	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0
neurotransmitter receptor complex	0	3.92231124959393	0	1.88187310243887	2.10464165688907	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0
excitatory synapse	0	3.87946155210519	0	0	2.96413260861691	0	0	0	0	4	0	0	3.54747160920237	0	1.73622461481878	0	0	0	3.56259323697476	0	0	0	0	0	3.37067416941512	1.62737202300769	4	0	0
dendrite	0	3.58375543617998	4	4	2.93625494121838	0	0	0	0	4	0	0	4	0	0	0	0	0	2.79279698676811	0	0	0	0	4	0	4	4	0	0
axon	0	3.23625274117628	4	4	1.77527711344686	0	0	0	0	4	0	0	4	0	0	0	1.79406305065585	0	3.7800121052311	0	0	0	1.83146849157192	4	0	4	4	0	0
postsynaptic density	0	3.10518191031201	0	0	3.0748965494193	0	0	0	0	4	0	0	3.66863380336107	0	1.80780444651509	0	0	0	3.62242415817141	0	0	0	0	0	2.51749539765463	1.71272725448981	4	0	0
postsynaptic specialization	0	3.10518191031201	0	0	3.0748965494193	0	0	0	0	4	0	0	3.66863380336107	0	1.80780444651509	0	0	0	3.62242415817141	0	0	0	0	0	2.51749539765463	1.71272725448981	4	0	0
intercalated disc	0	2.62023866883274	3.85401493248772	3.89700160979426	2.09174116629223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.57858484434206	0	0	0	0	0
Z disc	0	2.57821248588732	3.57552656034994	2.27373917063717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.09207002650556	0	2.23215589092762	0	1.94556253095682	0	0	2.08500360251635
voltage-gated sodium channel complex	0	2.4407954801325	2.44427376116181	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
I band	0	2.4407954801325	4	2.11479264277113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0008439794223	0	2.14785196564818	0	1.83567106119934	0	0	3.06646666360898
cell-cell contact zone	0	2.36771241677238	3.4967269481625	3.43038765649085	1.9079652858485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.20140743073458	0	0	0	0	0
sodium channel complex	0	2.30739948048975	2.29924530217164	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
sarcomere	0	1.87504738309384	3.57552656034994	1.53167477667774	2.7806980504152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66996820442652	0	1.6766161362107	0	0	0	0	4
contractile fiber part	0	1.75910386514975	3.41735935314054	0	2.69611506490268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60211123779961	0	1.57582455548578	0	0	0	0	4
neuron projection membrane	0	1.74725902438664	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1.95138376610293	1.71662403091028	0	0
myofibril	0	1.7376206270546	3.36425095830127	0	2.69115220341244	0	0	0	0	0	0	0	0	0	0	1.85565085767762	0	0	0	0	0	1.58536005399038	0	0	0	0	0	0	4
dendritic spine	0	1.7333887762954	0	0	0	0	0	0	0	2.21308507931013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68869103124304	0	0
neuron spine	0	1.722427094405	0	0	0	0	0	0	0	2.20166766566018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68869103124304	0	0
contractile fiber	0	1.69211341991331	4	0	2.63880873111978	0	0	0	0	0	0	0	0	0	0	1.85565085767762	0	0	0	0	0	1.56330982505706	0	0	0	0	0	0	4
synaptic vesicle	0	1.57349985387809	0	0	0	0	0	0	0	2.04698781550448	0	0	1.71138501986001	0	0	0	0	0	1.63813862654887	0	0	0	0	0	0	0	3.33810666909346	0	0
voltage-gated calcium channel complex	0	0	4	0	3.43363801234662	0	0	0	0	4	0	1.66631505924792	0	0	1.80780444651509	0	0	0	0	0	0	0	0	2.56793082295336	0	0	0	0	4
calcium channel complex	0	0	4	0	4	0	0	0	0	4	0	1.57355958773584	0	0	2.48998350452211	0	0	0	0	0	0	0	0	2.10743695865368	0	0	0	0	4
axon part	0	0	4	4	0	0	0	0	0	4	0	0	4	0	0	0	0	0	3.11906745528402	0	0	0	1.78105977253464	4	0	4	4	0	0
axon terminus	0	0	4	3.14876980241527	0	0	0	0	0	4	0	0	4	0	0	0	1.79406305065585	0	2.85816840507275	0	0	0	0	4	0	4	4	0	0
neuron projection terminus	0	0	4	2.93369308056928	0	0	0	0	0	4	0	0	3.85995800270572	0	0	0	1.79406305065585	0	2.76459228075216	0	0	0	0	3.90181346978311	0	4	4	0	0
nonmotile primary cilium	0	0	3.17767618389615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87732317568425	0	0	0	1.71272725448981	0	0	0
ciliary membrane	0	0	3.09899187637125	0	1.68949775822868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43491531189761	0	1.85742888792864	0	2.30428295102773	0	0	0
cell projection membrane	0	0	2.64854600664697	0	0	0	0	0	1.45918736533877	3.5438494860144	0	0	4	0	2.48998350452211	0	0	0	0	0	0	2.5760386494169	0	2.15963902062714	0	2.29208353343554	1.86634987682256	0	0
lateral plasma membrane	0	0	2.5658721277659	0	2.05074657491149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76815470150404	0	0	0	1.71272725448981	0	0	0
primary cilium	0	0	2.50180402464053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58536005399038	0	0	0	0	0	0	0
apical part of cell	0	0	2.29924530217164	0	0	0	0	0	4	0	0	0	2.38847010860124	0	0	0	0	2.33877292427147	0	0	0	1.68109844595927	2.92441321473195	0	2.03184401859111	0	0	0	1.56991838454371
cilium	0	0	2.18716733117455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
early endosome	0	0	1.93938218154297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02829234767148	0	0	0	0
perikaryon	0	0	1.81634483073715	4	0	0	0	0	0	4	0	0	4	0	2.02109052699152	0	1.79406305065585	0	0	0	0	2.13376345288346	0	1.61817917540677	0	4	2.63627103053165	0	2.14251774219401
neuronal cell body membrane	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell body membrane	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mitochondrial matrix	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
main axon	0	0	0	4	0	0	0	0	0	1.74471847926611	0	0	0	0	0	0	0	0	0	0	0	0	3.11245861121683	2.17259032503584	0	2.66728339536602	0	0	0
node of Ranvier	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99781155776238	3.76794408384018	0	2.58796112714788	0	0	0
presynaptic membrane	0	0	0	3.43038765649085	0	0	0	0	0	1.71179250072675	0	0	0	0	1.59729151536156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glial cell projection	0	0	0	3.10316431876742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chloride channel complex	0	0	0	2.65556654702464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0
juxtaparanode region of axon	0	0	0	2.04589889763911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leading edge membrane	0	0	0	2.00480707385476	0	0	0	0	0	4	0	0	3.74326549580994	0	1.80780444651509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axon initial segment	0	0	0	1.98422697871859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04549924209653	0	0	2.81373991314755	0	0	0
inhibitory synapse	0	0	0	1.91832281419849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53998477118278	0	0
peroxisomal matrix	0	0	0	1.91350291258206	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72131926905143	0	0	0	0	0	0	0	0	0	0	0
microbody lumen	0	0	0	1.91350291258206	0	0	0	0	0	0	0	0	0	0	0	0	0	2.72131926905143	0	0	0	0	0	0	0	0	0	0	0
presynapse	0	0	0	1.91350291258206	0	0	0	0	0	4	0	0	1.88043675030718	0	0	0	0	0	0	0	0	0	0	1.6766161362107	0	3.0708871726613	4	0	0
proteasome core complex	0	0	0	1.54673555505309	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mast cell granule	0	0	0	1.52373947214576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19943083206536	0	0	0	0
basolateral plasma membrane	0	0	0	0	2.69611506490268	0	0	0	1.50753139240666	1.59962142134883	1.55871597018348	0	0	0	0	0	0	0	0	0	0	1.60211123779961	0	2.17118000446144	2.09800973000129	0	0	2.93117317603778	0
clathrin coat	0	0	0	0	2.09174116629223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
membrane coat	0	0	0	0	1.63149978374532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
coated membrane	0	0	0	0	1.63149978374532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endocytic vesicle	0	0	0	0	1.59501468362834	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1.54432225446017	0	0	0	0	0	0	0	0	0
blood microparticle	0	0	0	0	0	1.85930413004578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89709269093518	0
centriole	0	0	0	0	0	0	2.40580396729998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
microtubule organizing center part	0	0	0	0	0	0	2.40580396729998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
condensed chromosome	0	0	0	0	0	0	2.40580396729998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IkappaB kinase complex	0	0	0	0	0	0	0	3.23656722947671	0	0	0	0	0	0	0	0	0	0	3.57867828471454	0	0	0	0	0	0	0	0	0	0
CD40 receptor complex	0	0	0	0	0	0	0	3.23656722947671	0	0	0	0	0	0	0	0	0	0	3.56259323697476	0	0	0	0	0	0	0	0	0	0
serine/threonine protein kinase complex	0	0	0	0	0	0	0	1.69319117965614	0	0	0	0	0	0	0	0	0	0	2.00385049103972	0	0	0	0	0	0	0	0	0	0
protein kinase complex	0	0	0	0	0	0	0	1.69319117965614	0	0	0	0	0	0	0	0	0	0	1.89980908666775	0	0	0	0	0	0	0	0	0	0
apical plasma membrane	0	0	0	0	0	0	0	0	4	0	0	0	1.88043675030718	0	0	0	0	2.43315751526088	0	0	0	1.91034179576348	2.32013508102685	0	2.3850827264141	0	0	0	1.87612153592184
rough endoplasmic reticulum	0	0	0	0	0	0	0	0	1.45918736533877	0	0	0	3.41153478164736	0	0	0	0	0	0	0	0	0	0	2.0276351147188	0	0	0	0	0
microvillus	0	0	0	0	0	0	0	0	1.45918736533877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
axolemma	0	0	0	0	0	0	0	0	0	2.83131932090349	0	0	0	0	0	1.85565085767762	0	0	0	0	0	0	0	0	0	0	0	0	0
dendrite membrane	0	0	0	0	0	0	0	0	0	2.63425283974222	0	0	3.15937307267482	0	0	0	0	0	0	0	0	0	0	0	0	2.44300722329687	2.20015332132717	0	0
cell leading edge	0	0	0	0	0	0	0	0	0	2.30839860208806	0	0	3.28784784090159	0	1.63963518065167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exocytic vesicle	0	0	0	0	0	0	0	0	0	1.94950365161786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.15521672892172	0	0
terminal bouton	0	0	0	0	0	0	0	0	0	1.70761123764272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transport vesicle	0	0	0	0	0	0	0	0	0	1.65209520032759	0	0	1.68985800880624	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20015332132717	0	0
proteasome complex	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
endopeptidase complex	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peptidase complex	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
integrin complex	0	0	0	0	0	0	0	0	0	0	1.8745307489187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein complex involved in cell adhesion	0	0	0	0	0	0	0	0	0	0	1.87096833650291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
peroxisomal membrane	0	0	0	0	0	0	0	0	0	0	1.55871597018348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
microbody membrane	0	0	0	0	0	0	0	0	0	0	1.55871597018348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetylcholine-gated channel complex	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
NADPH oxidase complex	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phagocytic vesicle	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oxidoreductase complex	0	0	0	0	0	0	0	0	0	0	0	0	4	2.64527467206958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
secondary lysosome	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
secretory vesicle	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1.68869103124304	0	0
secretory granule	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phagocytic vesicle membrane	0	0	0	0	0	0	0	0	0	0	0	0	3.54747160920237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytoplasmic vesicle membrane	0	0	0	0	0	0	0	0	0	0	0	0	3.49660036610864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
external side of plasma membrane	0	0	0	0	0	0	0	0	0	0	0	0	2.96887335388554	0	0	0	0	0	2.01307268537612	0	0	0	0	0	0	0	0	0	0
side of membrane	0	0	0	0	0	0	0	0	0	0	0	0	2.90564937132062	0	0	0	0	0	2.88704412680356	0	0	0	0	0	4	0	0	0	0
endocytic vesicle membrane	0	0	0	0	0	0	0	0	0	0	0	0	2.4494468236965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
transport vesicle membrane	0	0	0	0	0	0	0	0	0	0	0	0	2.43618328007871	0	0	0	0	0	0	0	0	0	0	0	0	0	2.03831787656775	0	0
platelet alpha granule lumen	0	0	0	0	0	0	0	0	0	0	0	0	2.25387096330298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
focal adhesion	0	0	0	0	0	0	0	0	0	0	0	0	2.21750998734464	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
cell-substrate adherens junction	0	0	0	0	0	0	0	0	0	0	0	0	2.21524497445095	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
cell-substrate junction	0	0	0	0	0	0	0	0	0	0	0	0	2.20899782476667	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
synaptic vesicle membrane	0	0	0	0	0	0	0	0	0	0	0	0	2.19902146772898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
exocytic vesicle membrane	0	0	0	0	0	0	0	0	0	0	0	0	2.19902146772898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
platelet alpha granule	0	0	0	0	0	0	0	0	0	0	0	0	2.05873762453121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
actin filament	0	0	0	0	0	0	0	0	0	0	0	0	1.9613423196018	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
secretory granule lumen	0	0	0	0	0	0	0	0	0	0	0	0	1.95790391297315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
extrinsic component of membrane	0	0	0	0	0	0	0	0	0	0	0	0	1.95790391297315	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
acrosomal vesicle	0	0	0	0	0	0	0	0	0	0	0	0	1.90157486064733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytoplasmic membrane-bounded vesicle lumen	0	0	0	0	0	0	0	0	0	0	0	0	1.82486095790906	0	0	0	0	0	0	2.14621149226712	0	0	0	0	0	0	0	0	0
vesicle lumen	0	0	0	0	0	0	0	0	0	0	0	0	1.82462098346049	0	0	0	0	0	0	2.14621149226712	0	0	0	0	0	0	0	0	0
perinuclear endoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	1.73455871753388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
clathrin-sculpted vesicle	0	0	0	0	0	0	0	0	0	0	0	0	1.71138501986001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuclear replisome	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
replication fork	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
replisome	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA polymerase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuclear replication fork	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nucleotide-excision repair complex	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA repair complex	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1.80780444651509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein-DNA complex	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ada2/Gcn5/Ada3 transcription activator complex	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85973188959501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuclear chromosome part	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40590058999443	0	0	0	0	0	0	2.21106953704525	0	0	0	0	0	0	0	0
H4 histone acetyltransferase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11284243577387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cytosolic part	0	0	0	0	0	0	0	0	0	0	0	0	0	1.70702808395123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
histone acetyltransferase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	1.49392849028403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
protein acetyltransferase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4509326693554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetyltransferase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4509326693554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
platelet dense tubular network	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96188703545173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sarcoplasmic reticulum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63190934538025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
phosphatidylinositol 3-kinase complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63190934538025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sarcoplasm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.63190934538025	0	0	0	0	0	0	0	0	0	0	0	0	0	0
photoreceptor disc membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27846351491077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
secretory granule membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27846351491077	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sarcoplasmic reticulum membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80780444651509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
myelin sheath	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43739288218291	0	0	0	0	0	0	0	0	0	0	0	0	0
peroxisome	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95239440294686	0	3.11361965566016	0	0	0	0	0	0	0	0	0	0	0
microbody	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95239440294686	0	3.11361965566016	0	0	0	0	0	0	0	0	0	0	0
mitochondrial outer membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85565085767762	0	0	0	0	0	0	0	0	0	0	0	0	0
organelle outer membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85565085767762	0	0	0	0	0	0	0	0	0	0	0	0	0
outer membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85565085767762	0	0	0	0	0	0	0	0	0	0	0	0	0
striated muscle thin filament	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73505841274721	0	0	0	0	0	0	0	0	0	0	0	0	2.34222616216399
myofilament	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73238953960586	0	0	0	0	0	0	0	0	0	0	0	0	2.24602455040131
microtubule associated complex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74902244548555	0	0	0	0	0	0	0	0	0	0	0	0
mitochondrial inner membrane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40629949909692	0	0	0	0	0	0	0	0	0	0	0
microbody part	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.33877292427147	0	0	0	0	0	0	0	0	0	0	0
