Drug Bank ID,inRepurposeDB,Type,Approved,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C19 substrate,CYP450 inhibitory promiscuity,Ames test,Carcinogenicity,Biodegradation,hERG inhibition (predictor I),hERG inhibition (predictor II)
1775,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
1978,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
1983,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
1990,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2022,N,Small Molecule,N,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2082,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2083,Y,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2088,Y,Small Molecule,Y,-,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
2092,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2094,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2099,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2118,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2130,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2153,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
2159,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2160,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2161,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2162,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2170,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
2179,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2182,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2187,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2216,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2249,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2265,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2266,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
2267,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2284,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2351,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
2366,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2369,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2370,N,Small Molecule,Y,-,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2375,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2405,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2435,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2441,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2471,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2474,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2477,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2478,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Carcinogens ,Ready biodegradable,Weak inhibitor,Non-inhibitor
2519,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
2520,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2541,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2554,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2576,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2578,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Carcinogens ,Not ready biodegradable,Strong inhibitor,Non-inhibitor
2585,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2662,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2678,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2708,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2732,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2749,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2754,N,Small Molecule,Y,+,+,-,Non-substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2756,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2764,N,Small Molecule,N,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2767,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2771,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2789,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2801,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2802,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2803,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2818,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2895,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
2907,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
2955,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
2972,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
2973,N,Small Molecule,Y,-,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3009,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3016,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3042,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3059,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
3108,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
3114,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
3121,Y,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
3151,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
